Query Results (1465 answers): 
x       | y                                
A008475 | OlivierGA(c)rard                 
A034387 | N.J.A.Sloane                     
A004531 | N.J.A.Sloane                     
A034889 | R.C.Read                         
A007088 | RobertG.Wilsonv                  
A051286 | EmanueleMunarini                 
A002181 | N.J.A.Sloane                     
A008776 | DavidW.Wilson                    
A008658 | N.J.A.Sloane                     
A047653 | N.J.A.Sloane                     
A001542 | N.J.A.Sloane                     
A002321 | N.J.A.Sloane                     
A009993 | N.J.A.Sloane                     
A020522 | SimonPlouffe                     
A010055 | N.J.A.Sloane                     
A037947 | N.J.A.Sloane                     
A033890 | N.J.A.Sloane                     
A016189 | N.J.A.Sloane                     
A033188 | EricW.Weisstein                  
A048601 | N.J.A.Sloane                     
A014614 | EricW.Weisstein                  
A014182 | NoamD.Elkies                     
A022264 | N.J.A.Sloane                     
A000737 | N.J.A.Sloane                     
A007590 | R.K.Guy                          
A047913 | N.J.A.Sloane                     
A003188 | N.J.A.Sloane                     
A007428 | N.J.A.Sloane                     
A026945 | ClarkKimberling                  
A001935 | RobertG.Wilsonv                  
A001790 | N.J.A.Sloane                     
A005180 | R.K.Guy                          
A000295 | N.J.A.Sloane                     
A020652 | DavidW.Wilson                    
A014708 | N.J.A.Sloane                     
A006566 | N.J.A.Sloane                     
A042965 | N.J.A.Sloane                     
A004604 | N.J.A.Sloane                     
A002105 | N.J.A.Sloane                     
A188377 | Samuel                           
A008483 | T.Forbes                         
A040039 | J.H.Conway                       
A057086 | WolfdieterLang                   
A002654 | N.J.A.Sloane                     
A007607 | MiraBernstein                    
A005705 | N.J.A.Sloane                     
A005867 | N.J.A.Sloane                     
A038107 | JoeK.Crump                       
A025142 | ClarkKimberling                  
A049453 | JoeKeane                         
A002533 | N.J.A.Sloane                     
A001263 | N.J.A.Sloane                     
A006366 | N.J.A.Sloane                     
A038566 | N.J.A.Sloane                     
A027960 | ClarkKimberling                  
A003245 | N.J.A.Sloane                     
A014963 | MarcLeBrun                       
A000752 | N.J.A.Sloane                     
A006961 | SimonPlouffe                     
A048996 | AlfordArnold                     
A008281 | N.J.A.Sloane                     
A023001 | DavidW.Wilson                    
A006128 | ColinMallows                     
A035316 | N.J.A.Sloane                     
A023896 | OlivierGA(c)rard                 
A000364 | N.J.A.Sloane                     
A000140 | N.J.A.Sloane                     
A000798 | N.J.A.Sloane                     
A008438 | N.J.A.Sloane                     
A014311 | AlBlack                          
A026644 | ClarkKimberling                  
A003214 | N.J.A.Sloane                     
A004086 | N.J.A.Sloane                     
A008794 | N.J.A.Sloane                     
A000084 | N.J.A.Sloane                     
A029600 | MohammadK.Azarian                
A000384 | N.J.A.Sloane                     
A026585 | ClarkKimberling                  
A054387 | EricW.Weisstein                  
A013973 | N.J.A.Sloane                     
A046670 | N.J.A.Sloane                     
A008949 | N.J.A.Sloane                     
A046711 | N.J.A.Sloane                     
A024206 | ClarkKimberling                  
A015356 | OlivierGA(c)rard                 
A007306 | N.J.A.Sloane                     
A001566 | N.J.A.Sloane                     
A014642 | MohammadK.Azarian                
A044432 | ClarkKimberling                  
A001453 | N.J.A.Sloane                     
A036279 | N.J.A.Sloane                     
A052409 | EricW.Weisstein                  
A006056 | N.J.A.Sloane                     
A008966 | N.J.A.Sloane                     
A003415 | R.K.Guy                          
A001475 | N.J.A.Sloane                     
A001223 | N.J.A.Sloane                     
A014217 | ClarkKimberling                  
A005265 | N.J.A.Sloane                     
A014190 | N.J.A.Sloane                     
A013661 | N.J.A.Sloane                     
A033438 | N.J.A.Sloane                     
A008862 | R.K.Guy                          
A000793 | N.J.A.Sloane                     
A033637 | N.J.A.Sloane                     
A002646 | N.J.A.Sloane                     
