A080814 | 1,12,1221,12212112,1221211221121221,12212112211212212112122112212112,1221211221121221211212211221211221121221122121121221211221121221                                                                                                                                                                                                                                                                                                                                                          
A084231 | 1,337,65521,12710881,2465845537,478361323441,92799630902161,18002650033695937,3492421306906109761,677511730889751597841,131433783371304903871537,25497476462302261599480481,4946378999903267445395341921,959572028504771582145096852337                                                                                                                                                                                                                                          
A006497 | 2,3,11,36,119,393,1298,4287,14159,46764,154451,510117,1684802,5564523,18378371,60699636,200477279,662131473,2186871698,7222746567,23855111399,78788080764,260219353691,859446141837,2838557779202                                                                                                                                                                                                                                                                                              
A007745 | 1,6,11,20,29,38,55,72,89,110,123,156,173,206,239,272,305,342,379,404,445,502,535,600,633,702,731,796,861,926,991,1056,1121,1190,1259,1332,1405,1446,1527,1640,1721,1774,1851,1980,2029,2158,2223,2352,2417,2550                                                                                                                                                                                                                                                                                
A000124 | 1,2,4,7,11,16,22,29,37,46,56,67,79,92,106,121,137,154,172,191,211,232,254,277,301,326,352,379,407,436,466,497,529,562,596,631,667,704,742,781,821,862,904,947,991,1036,1082,1129,1177,1226,1276,1327,1379                                                                                                                                                                                                                                                                                      
A018252 | 1,4,6,8,9,10,12,14,15,16,18,20,21,22,24,25,26,27,28,30,32,33,34,35,36,38,39,40,42,44,45,46,48,49,50,51,52,54,55,56,57,58,60,62,63,64,65,66,68,69,70,72,74,75,76,77,78,80,81,82,84,85,86,87,88                                                                                                                                                                                                                                                                                                  
A070089 | 1,2,4,6,8,9,10,12,16,18,20,21,22,24,25,27,28,30,32,33,36,40,42,45,46,48,50,52,54,56,57,58,60,64,66,68,70,72,75,77,78,81,82,84,85,88,90,91,92,93,96,98,100,102,105,106,108,110,112,114,115,117                                                                                                                                                                                                                                                                                                  
A000330 | 0,1,5,14,30,55,91,140,204,285,385,506,650,819,1015,1240,1496,1785,2109,2470,2870,3311,3795,4324,4900,5525,6201,6930,7714,8555,9455,10416,11440,12529,13685,14910,16206,17575,19019,20540,22140,23821,25585,27434,29370                                                                                                                                                                                                                                                                         
A058943 | 10,11,111,1011,1101,10011,11001,11111,100101,101001,101111,110111,111011,111101,1000011,1001001,1010111,1011011,1100001,1100111,1101101,1110011,1110101,10000011,10001001,10001111,10010001                                                                                                                                                                                                                                                                                                    
A002524 | 1,1,2,6,14,31,73,172,400,932,2177,5081,11854,27662,64554,150639,351521,820296,1914208,4466904,10423761,24324417,56762346,132458006,309097942,721296815,1683185225,3927803988,9165743600,21388759708,49911830577,116471963129                                                                                                                                                                                                                                                                   
A081696 | 1,1,3,9,29,97,333,1165,4135,14845,53791,196417,721887,2667941,9907851,36950465,138320021,519515209,1957091277,7392602917,27992976565,106236268337,404005515873,1539293204549,5875059106769,22459721336977                                                                                                                                                                                                                                                                                      
A052224 | 19,28,37,46,55,64,73,82,91,109,118,127,136,145,154,163,172,181,190,208,217,226,235,244,253,262,271,280,307,316,325,334,343,352,361,370,406,415,424,433,442,451,460,505,514,523,532,541,550,604,613,622,631,640                                                                                                                                                                                                                                                                                 
